ID	ran_in_way_pipeline	ClusterK2_kmeans	ClusterK3_kmeans	ClusterK4_kmeans	ClusterK2_NMF	ClusterK3_NMF	ClusterK4_NMF	ClusterK4_kmeans_TCGA_names	external_HGSCsubtype_estimate
Sample_18341X33	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	C4.DIF
Sample_18341X34	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	C5.PRO
Sample_18341X45	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	C4.DIF
Sample_18341X12	True	2.0	2.0	2.0	2.0	3.0	2.0	Proliferative	C5.PRO
Sample_19291X36	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_18341X36	True	1.0	1.0	1.0	1.0	1.0	3.0	Mesenchymal	C2.IMM
Sample_19291X37	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X38	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_18341X13	True	2.0	2.0	2.0	2.0	2.0	2.0	Proliferative	C4.DIF
Sample_18341X14	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	C4.DIF
Sample_18341X38	True	1.0	1.0	1.0	1.0	2.0	4.0	Mesenchymal	C1.MES
Sample_19291X39	True	1.0	1.0	1.0	2.0	1.0	1.0	Mesenchymal	
Sample_18341X15	True	1.0	1.0	1.0	1.0	2.0	4.0	Mesenchymal	C1.MES
Sample_18341X40	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	C5.PRO
Sample_19291X40	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X41	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X42	True	2.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X44	True	1.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X46	True	2.0	3.0	3.0	2.0	3.0	4.0	Immunoreactive	
Sample_19291X47	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X49	True	1.0	1.0	1.0	1.0	1.0	4.0	Mesenchymal	
Sample_19291X50	True	1.0	3.0	3.0	2.0	1.0	3.0	Immunoreactive	
Sample_19291X52	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
Sample_19291X53	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X54	True	2.0	2.0	2.0	2.0	3.0	3.0	Proliferative	
Sample_19291X55	True	2.0	2.0	2.0	2.0	2.0	2.0	Proliferative	
Sample_19291X56	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X58	True	2.0	2.0	2.0	2.0	2.0	4.0	Proliferative	
Sample_19291X59	True	2.0	2.0	2.0	2.0	3.0	2.0	Proliferative	
Sample_19291X60	True	2.0	3.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X63	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X64	True	2.0	2.0	2.0	2.0	3.0	4.0	Proliferative	
Sample_19291X65	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X67	True	1.0	1.0	3.0	1.0	1.0	3.0	Immunoreactive	
Sample_19291X68	True	2.0	2.0	4.0	2.0	3.0	4.0	Differentiated	
Sample_19291X70	True	2.0	2.0	2.0	1.0	2.0	2.0	Proliferative	
Sample_19291X71	True	2.0	3.0	3.0	2.0	3.0	3.0	Immunoreactive	
Sample_19291X72	True	2.0	2.0	2.0	1.0	2.0	4.0	Proliferative	
Sample_19291X74	True	1.0	1.0	1.0	1.0	1.0	1.0	Mesenchymal	
